forecast_month,forecast_label,source_publication_date,base_index_label,period,cpi_index,cpi_growth_rate,health_index,health_growth_rate,smoothed_health_index,pivotal_index
2025-05,mei 2025,2025-05-06,Index (2013=100),2025-01,135.39,4.08,135.52,4.09,131.18,130.67
2025-05,mei 2025,2025-05-06,Index (2013=100),2025-02,135.66,3.55,135.79,3.7,131.87,133.28
2025-05,mei 2025,2025-05-06,Index (2013=100),2025-03,135.56,2.91,135.91,3.16,132.53,133.28
2025-05,mei 2025,2025-05-06,Index (2013=100),2025-04,134.44,2.55,134.77,3.0,132.79,133.28
2025-05,mei 2025,2025-05-06,Index (2013=100),2025-05,134.41,2.15,134.69,2.49,132.58,133.28
2025-05,mei 2025,2025-05-06,Index (2013=100),2025-06,134.41,1.93,134.77,2.16,132.33,133.28
2025-05,mei 2025,2025-05-06,Index (2013=100),2025-07,134.52,1.29,134.9,1.55,132.09,133.28
2025-05,mei 2025,2025-05-06,Index (2013=100),2025-08,134.79,1.49,135.17,1.68,132.18,133.28
2025-05,mei 2025,2025-05-06,Index (2013=100),2025-09,134.2,1.55,134.59,1.65,132.16,133.28
2025-05,mei 2025,2025-05-06,Index (2013=100),2025-10,134.75,1.48,135.16,1.65,132.26,133.28
2025-05,mei 2025,2025-05-06,Index (2013=100),2025-11,134.82,1.36,135.27,1.54,132.35,133.28
2025-05,mei 2025,2025-05-06,Index (2013=100),2025-12,135.16,1.21,135.62,1.41,132.46,133.28
2025-05,mei 2025,2025-05-06,Index (2013=100),2026-01,136.37,0.72,136.79,0.94,133.0,133.28
2025-05,mei 2025,2025-05-06,Index (2013=100),2026-02,136.46,0.59,136.93,0.84,133.43,133.28
2025-05,mei 2025,2025-05-06,Index (2013=100),2026-03,136.59,0.76,137.11,0.88,133.88,135.95
2025-05,mei 2025,2025-05-06,Index (2013=100),2026-04,136.06,1.2,136.55,1.32,134.11,135.95
2025-05,mei 2025,2025-05-06,Index (2013=100),2026-05,136.3,1.41,136.72,1.51,134.09,135.95
2025-05,mei 2025,2025-05-06,Index (2013=100),2026-06,136.33,1.43,136.81,1.51,134.06,135.95
2025-05,mei 2025,2025-05-06,Index (2013=100),2026-07,136.6,1.55,137.08,1.62,134.05,135.95
2025-05,mei 2025,2025-05-06,Index (2013=100),2026-08,136.85,1.53,137.32,1.59,134.24,135.95
2025-05,mei 2025,2025-05-06,Index (2013=100),2026-09,136.29,1.56,136.77,1.62,134.26,135.95
2025-05,mei 2025,2025-05-06,Index (2013=100),2026-10,136.79,1.51,137.27,1.56,134.37,135.95
2025-05,mei 2025,2025-05-06,Index (2013=100),2026-11,136.84,1.5,137.36,1.55,134.44,135.95
2025-05,mei 2025,2025-05-06,Index (2013=100),2026-12,137.15,1.47,137.67,1.51,134.52,135.95
2025-06,juni 2025,2025-06-03,Index (2013=100),2025-01,135.39,4.08,135.52,4.09,131.18,130.67
2025-06,juni 2025,2025-06-03,Index (2013=100),2025-02,135.66,3.55,135.79,3.7,131.87,133.28
2025-06,juni 2025,2025-06-03,Index (2013=100),2025-03,135.56,2.91,135.91,3.16,132.53,133.28
2025-06,juni 2025,2025-06-03,Index (2013=100),2025-04,134.44,2.55,134.77,3.0,132.79,133.28
2025-06,juni 2025,2025-06-03,Index (2013=100),2025-05,134.23,2.01,134.54,2.37,132.55,133.28
2025-06,juni 2025,2025-06-03,Index (2013=100),2025-06,134.36,1.89,134.7,2.11,132.28,133.28
2025-06,juni 2025,2025-06-03,Index (2013=100),2025-07,134.58,1.33,134.91,1.56,132.04,133.28
2025-06,juni 2025,2025-06-03,Index (2013=100),2025-08,134.87,1.55,135.2,1.7,132.14,133.28
2025-06,juni 2025,2025-06-03,Index (2013=100),2025-09,134.28,1.61,134.63,1.68,132.16,133.28
2025-06,juni 2025,2025-06-03,Index (2013=100),2025-10,134.86,1.56,135.23,1.71,132.29,133.28
2025-06,juni 2025,2025-06-03,Index (2013=100),2025-11,134.94,1.45,135.35,1.6,132.4,133.28
2025-06,juni 2025,2025-06-03,Index (2013=100),2025-12,135.25,1.28,135.66,1.44,132.51,133.28
2025-06,juni 2025,2025-06-03,Index (2013=100),2026-01,136.42,0.76,136.8,0.94,133.04,133.28
2025-06,juni 2025,2025-06-03,Index (2013=100),2026-02,136.54,0.65,136.97,0.87,133.47,133.28
2025-06,juni 2025,2025-06-03,Index (2013=100),2026-03,136.68,0.83,137.15,0.91,133.91,135.95
2025-06,juni 2025,2025-06-03,Index (2013=100),2026-04,136.18,1.29,136.62,1.37,134.15,135.95
2025-06,juni 2025,2025-06-03,Index (2013=100),2026-05,136.36,1.59,136.8,1.68,134.15,135.95
2025-06,juni 2025,2025-06-03,Index (2013=100),2026-06,136.43,1.54,136.9,1.63,134.13,135.95
